season,week,entries,entry_fee_gbp,prize_pool_gbp,first_prize_gbp,tier2_n,tier2_each_gbp,tier3_n,tier3_each_gbp,places_paid
2025,1,43,25,860.0,215.0,2,107.5,6,71.67,9
2025,2,56,25,1120.0,280.0,2,140.0,8,70.0,11
2025,3,47,25,940.0,235.0,2,117.5,7,67.14,10
2025,4,34,25,680.0,170.0,1,170.0,5,68.0,7
2025,5,37,25,740.0,185.0,1,185.0,6,61.67,8
2025,6,32,25,640.0,160.0,1,160.0,5,64.0,7
2025,7,29,25,580.0,145.0,1,145.0,4,72.5,6
2025,8,26,25,520.0,130.0,1,130.0,4,65.0,6
2025,9,30,25,600.0,150.0,1,150.0,5,60.0,7
2025,10,24,25,480.0,120.0,1,120.0,4,60.0,6
2025,11,16,25,320.0,80.0,1,80.0,2,80.0,4
2025,12,16,25,320.0,80.0,1,80.0,2,80.0,4
2025,13,17,25,340.0,85.0,1,85.0,3,56.67,5
2025,14,18,25,360.0,90.0,1,90.0,3,60.0,5
