rank,username,prize_gbp,score
1,ohoracon,215.0,156.98
2,JH822547,107.5,156.88
3,White7566,107.5,154.68
4,JH822547,61.43,145.82
5,ohoracon,61.43,143.82
6,Blue2831,61.43,140.82
7,IshB13,61.43,129.82
8,Beige7312,61.43,128.58
9,Emerald1412,61.43,124.76
10,Indigo465030,61.43,124.22
11,JH822547,0,123.12
12,Magenta9883,0,121.52
13,ohoracon,0,118.58
14,Lavender5227,0,117.58
15,Chartreuse350052,0,109.22
16,Bronze691024,0,107.9
16,ohoracon,0,107.9
18,Chooachooa,0,106.48
19,deftangel,0,103.22
20,ohoracon,0,102.7
21,AnaDeOoO,0,102.36
22,Supersi91,0,101.62
23,AnaDeOoO,0,100.9
24,Crimson874457,0,99.92
25,Davidb8,0,99.02
26,CH1EF5,0,98.78
27,Hoof123,0,96.52
28,Monsoon,0,96.04
29,Silver5965,0,92.82
30,Bond007,0,92.42
31,AnaDeOoO,0,90.82
32,Mint243210,0,88.22
33,Purple5269,0,87.04
34,Maroon514755,0,85.72
35,Bond007,0,84.3
36,JUDGESILVER,0,82.92
37,Monsoon,0,77.92
38,Navy4360,0,70.82
39,JH822547,0,67.96
40,Sapphire1138,0,66.32
41,Bond007,0,61.06
42,Purple5269,0,60.3
43,Bond007,0,
