Position,First Name,Last Name,Team,Salary,Game
QB,Marcus,Mariota,WAS,4200,WAS@DET
QB,Jeff,Driskel,WAS,4200,WAS@DET
QB,Jayden,Daniels,WAS,7800,WAS@DET
QB,Trace,McSorley,WAS,4200,WAS@DET
QB,Teddy,Bridgewater,DET,4200,WAS@DET
QB,Jared,Goff,DET,7200,WAS@DET
QB,Hendon,Hooker,DET,4200,WAS@DET
QB,Nate,Sudfeld,DET,4200,WAS@DET
QB,Cade,Peterson,DET,4200,WAS@DET
QB,Davis,Mills,HOU,4200,HOU@KC
QB,C.J.,Stroud,HOU,4600,HOU@KC
QB,Carson,Wentz,KC,4200,HOU@KC
QB,Patrick,Mahomes,KC,6800,HOU@KC
QB,Spencer,Sanders,KC,4200,HOU@KC
QB,Josh,Johnson,BAL,4200,BAL@BUF
QB,Lamar,Jackson,BAL,7800,BAL@BUF
QB,Mitchell,Trubisky,BUF,4200,BAL@BUF
QB,Josh,Allen,BUF,7600,BAL@BUF
QB,Mike,White,BUF,4200,BAL@BUF
QB,Gunnar,Watson,BUF,4200,BAL@BUF
QB,Matthew,Stafford,LA,5000,LA@PHI
QB,Jimmy,Garoppolo,LA,4200,LA@PHI
QB,Stetson,Bennett,LA,4200,LA@PHI
QB,Dresser,Winn,LA,4200,LA@PHI
QB,Jalen,Hurts,PHI,6400,LA@PHI
QB,Kenny,Pickett,PHI,4200,LA@PHI
QB,Tanner,McKee,PHI,4200,LA@PHI
RB,Jeremy,McNichols,WAS,2200,WAS@DET
RB,Austin,Ekeler,WAS,4200,WAS@DET
RB,Brian,Robinson Jr.,WAS,3800,WAS@DET
RB,Chris,Rodriguez Jr.,WAS,2200,WAS@DET
RB,Austin,Jones,WAS,2200,WAS@DET
RB,David,Montgomery,DET,5600,WAS@DET
RB,Craig,Reynolds,DET,2200,WAS@DET
RB,Jahmyr,Gibbs,DET,8200,WAS@DET
RB,Sione,Vaki,DET,2200,WAS@DET
RB,Michael,Herzog,DET,2200,WAS@DET
RB,Joe,Mixon,HOU,6400,HOU@KC
RB,Dare,Ogunbowale,HOU,2200,HOU@KC
RB,Dameon,Pierce,HOU,2200,HOU@KC
RB,Nick,Bawden,HOU,2200,HOU@KC
RB,Kareem,Hunt,KC,4000,HOU@KC
