Position,First Name,Last Name,Team,Salary,Game
QB,Marcus,Mariota,WAS,4200,WAS@PHI
QB,Jeff,Driskel,WAS,4200,WAS@PHI
QB,Jayden,Daniels,WAS,6400,WAS@PHI
QB,Jalen,Hurts,PHI,7800,WAS@PHI
QB,Kenny,Pickett,PHI,4200,WAS@PHI
QB,Tanner,McKee,PHI,4200,WAS@PHI
QB,Matthew,Stafford,LA,5000,LA@NE
QB,Jimmy,Garoppolo,LA,4200,LA@NE
QB,Stetson,Bennett,LA,4200,LA@NE
QB,Jacoby,Brissett,NE,4200,LA@NE
QB,Drake,Maye,NE,5000,LA@NE
QB,Joe,Milton III,NE,4200,LA@NE
QB,Gardner,Minshew II,LV,4200,LV@MIA
QB,Desmond,Ridder,LV,4200,LV@MIA
QB,Tua,Tagovailoa,MIA,5200,LV@MIA
QB,Skylar,Thompson,MIA,4200,LV@MIA
QB,Jordan,Love,GB,5800,GB@CHI
QB,Malik,Willis,GB,4200,GB@CHI
QB,Tyson,Bagent,CHI,4200,GB@CHI
QB,Caleb,Williams,CHI,4800,GB@CHI
QB,Trevor,Lawrence,JAC,5600,JAC@DET
QB,Mac,Jones,JAC,4200,JAC@DET
QB,Jared,Goff,DET,5200,JAC@DET
QB,Hendon,Hooker,DET,4200,JAC@DET
QB,C.J.,Beathard,JAC,4200,JAC@DET
QB,Jameis,Winston,CLE,5600,CLE@NO
QB,Bailey,Zappe,CLE,4200,CLE@NO
QB,Dorian,Thompson-Robinson,CLE,4200,CLE@NO
QB,Derek,Carr,NO,5000,CLE@NO
QB,Jake,Haener,NO,4200,CLE@NO
QB,Spencer,Rattler,NO,4200,CLE@NO
QB,Nick,Mullens,MIN,4200,MIN@TEN
QB,Sam,Darnold,MIN,5600,MIN@TEN
QB,Brett,Rypien,MIN,4200,MIN@TEN
QB,Mason,Rudolph,TEN,4200,MIN@TEN
QB,Will,Levis,TEN,4200,MIN@TEN
QB,Josh,Johnson,BAL,4200,BAL@PIT
QB,Lamar,Jackson,BAL,8000,BAL@PIT
QB,Russell,Wilson,PIT,6200,BAL@PIT
QB,Kyle,Allen,PIT,4200,BAL@PIT
QB,Justin,Fields,PIT,4400,BAL@PIT
QB,Geno,Smith,SEA,5600,SEA@SF
QB,Sam,Howell,SEA,4200,SEA@SF
QB,Brandon,Allen,SF,4200,SEA@SF
QB,Joshua,Dobbs,SF,4200,SEA@SF
QB,Brock,Purdy,SF,6600,SEA@SF
QB,Kirk,Cousins,ATL,5400,ATL@DEN
QB,Michael,Penix Jr.,ATL,4200,ATL@DEN
QB,Jarrett,Stidham,DEN,4200,ATL@DEN
QB,Zach,Wilson,DEN,4200,ATL@DEN
QB,Bo,Nix,DEN,6000,ATL@DEN
QB,Carson,Wentz,KC,4200,KC@BUF
QB,Patrick,Mahomes,KC,5800,KC@BUF
QB,Mitchell,Trubisky,BUF,4200,KC@BUF
QB,Josh,Allen,BUF,7000,KC@BUF
QB,Jake,Browning,CIN,4200,CIN@LAC
QB,Joe,Burrow,CIN,6600,CIN@LAC
QB,Taylor,Heinicke,LAC,4200,CIN@LAC
QB,Easton,Stick,LAC,4200,CIN@LAC
QB,Justin,Herbert,LAC,5800,CIN@LAC
QB,Joe,Flacco,IND,6000,IND@NYJ
QB,Sam,Ehlinger,IND,4200,IND@NYJ
QB,Anthony,Richardson,IND,4200,IND@NYJ
QB,Aaron,Rodgers,NYJ,4600,IND@NYJ
QB,Tyrod,Taylor,NYJ,4200,IND@NYJ
QB,Davis,Mills,HOU,4200,HOU@DAL
QB,C.J.,Stroud,HOU,4800,HOU@DAL
QB,Dak,Prescott,DAL,4200,HOU@DAL
QB,Cooper,Rush,DAL,4200,HOU@DAL
QB,Trey,Lance,DAL,4200,HOU@DAL
RB,Jeremy,McNichols,WAS,2200,WAS@PHI
RB,Austin,Ekeler,WAS,3800,WAS@PHI
RB,Brian,Robinson Jr.,WAS,4800,WAS@PHI
RB,Saquon,Barkley,PHI,7800,WAS@PHI
RB,Kenneth,Gainwell,PHI,2200,WAS@PHI
RB,Will,Shipley,PHI,2200,WAS@PHI
RB,Chris,Rodriguez Jr.,WAS,2200,WAS@PHI
RB,Kyren,Williams,LA,6600,LA@NE
RB,Ronnie,Rivers,LA,2200,LA@NE
RB,Blake,Corum,LA,2200,LA@NE
RB,Cody,Schrader,LA,2200,LA@NE
RB,Antonio,Gibson,NE,2200,LA@NE
RB,JaMycal,Hasty,NE,2200,LA@NE
RB,Rhamondre,Stevenson,NE,4600,LA@NE
RB,Ameer,Abdullah,LV,2200,LV@MIA
RB,Alexander,Mattison,LV,4000,LV@MIA
RB,Zamir,White,LV,2200,LV@MIA
RB,Dylan,Laube,LV,2200,LV@MIA
RB,Raheem,Mostert,MIA,4000,LV@MIA
RB,Jeff,Wilson Jr.,MIA,2200,LV@MIA
RB,Alec,Ingold,MIA,2200,LV@MIA
RB,De'Von,Achane,MIA,6400,LV@MIA
RB,Jaylen,Wright,MIA,2200,LV@MIA
RB,Josh,Jacobs,GB,5800,GB@CHI
RB,Chris,Brooks,GB,2200,GB@CHI
RB,Emanuel,Wilson,GB,2200,GB@CHI
RB,Travis,Homer,CHI,2200,GB@CHI
RB,D'Andre,Swift,CHI,4800,GB@CHI
RB,Roschon,Johnson,CHI,2200,GB@CHI
RB,D'Ernest,Johnson,JAC,2200,JAC@DET
RB,Travis,Etienne Jr.,JAC,3400,JAC@DET
RB,Tank,Bigsby,JAC,3200,JAC@DET
RB,David,Montgomery,DET,5400,JAC@DET
RB,Craig,Reynolds,DET,2200,JAC@DET
RB,Jahmyr,Gibbs,DET,6800,JAC@DET
RB,Sione,Vaki,DET,2200,JAC@DET
RB,Keilan,Robinson,JAC,2200,JAC@DET
RB,D'Onta,Foreman,CLE,2200,CLE@NO
RB,Nick,Chubb,CLE,3600,CLE@NO
RB,Pierre,Strong Jr.,CLE,2200,CLE@NO
RB,Jerome,Ford,CLE,3000,CLE@NO
RB,Alvin,Kamara,NO,6800,CLE@NO
RB,Jamaal,Williams,NO,2200,CLE@NO
RB,Adam,Prentice,NO,2200,CLE@NO
RB,Jordan,Mims,NO,2200,CLE@NO
RB,C.J.,Ham,MIN,2200,MIN@TEN
RB,Aaron,Jones,MIN,5400,MIN@TEN
RB,Cam,Akers,MIN,2200,MIN@TEN
RB,Ty,Chandler,MIN,2200,MIN@TEN
RB,Tony,Pollard,TEN,4400,MIN@TEN
RB,Julius,Chestnut,TEN,2200,MIN@TEN
RB,Tyjae,Spears,TEN,3200,MIN@TEN
RB,Joshua,Kelley,TEN,2200,MIN@TEN
RB,Derrick,Henry,BAL,8200,BAL@PIT
RB,Patrick,Ricard,BAL,2200,BAL@PIT
RB,Justice,Hill,BAL,2800,BAL@PIT
RB,Keaton,Mitchell,BAL,2600,BAL@PIT
RB,Rasheen,Ali,BAL,2200,BAL@PIT
RB,Cordarrelle,Patterson,PIT,2200,BAL@PIT
RB,Najee,Harris,PIT,4800,BAL@PIT
RB,Jaylen,Warren,PIT,3000,BAL@PIT
RB,Kenneth,Walker III,SEA,6000,SEA@SF
RB,Zach,Charbonnet,SEA,3000,SEA@SF
RB,Kenny,McIntosh,SEA,2200,SEA@SF
RB,Kyle,Juszczyk,SF,2200,SEA@SF
RB,Jordan,Mason,SF,3600,SEA@SF
RB,Isaac,Guerendo,SF,2200,SEA@SF
RB,Christian,McCaffrey,SF,7000,SEA@SF
RB,Avery,Williams,ATL,2200,ATL@DEN
RB,Tyler,Allgeier,ATL,2800,ATL@DEN
RB,Bijan,Robinson,ATL,7200,ATL@DEN
RB,Robert,Burns,ATL,2200,ATL@DEN
RB,Jase,McClellan,ATL,2200,ATL@DEN
RB,Javonte,Williams,DEN,3400,ATL@DEN
RB,Jaleel,McLaughlin,DEN,2200,ATL@DEN
RB,Audric,Estime,DEN,2400,ATL@DEN
RB,Michael,Burton,DEN,2200,ATL@DEN
RB,Kareem,Hunt,KC,5800,KC@BUF
RB,Samaje,Perine,KC,2200,KC@BUF
RB,Clyde,Edwards-Helaire,KC,2200,KC@BUF
RB,Carson,Steele,KC,2200,KC@BUF
RB,Ty,Johnson,BUF,2200,KC@BUF
RB,Reggie,Gilliam,BUF,2200,KC@BUF
RB,James,Cook,BUF,5600,KC@BUF
RB,Ray,Davis,BUF,2800,KC@BUF
RB,Trayveon,Williams,CIN,2200,CIN@LAC
RB,Zack,Moss,CIN,2200,CIN@LAC
RB,Chase,Brown,CIN,5000,CIN@LAC
RB,J.K.,Dobbins,LAC,5200,CIN@LAC
RB,Hassan,Haskins,LAC,2200,CIN@LAC
RB,Scott,Matlock,LAC,2200,CIN@LAC
RB,Kimani,Vidal,LAC,2200,CIN@LAC
RB,Kendall,Milton,CIN,2200,CIN@LAC
RB,Khalil,Herbert,CIN,2200,CIN@LAC
RB,Gus,Edwards,LAC,2600,CIN@LAC
