Position,First Name,Last Name,Team,Salary,Game
QB,Tua,Tagovailoa,MIA,5800,MIA@BUF
QB,Zach,Wilson,MIA,4200,MIA@BUF
QB,Quinn,Ewers,MIA,4200,MIA@BUF
QB,Mitchell,Trubisky,BUF,4200,MIA@BUF
QB,Josh,Allen,BUF,9200,MIA@BUF
QB,Daniel,Jones,IND,7600,IND@TEN
QB,Anthony,Richardson Sr.,IND,4200,IND@TEN
QB,Riley,Leonard,IND,4200,IND@TEN
QB,Brandon,Allen,TEN,4200,IND@TEN
QB,Cam,Ward,TEN,4200,IND@TEN
QB,Mason,Rudolph,PIT,4200,PIT@NE
QB,Joshua,Dobbs,NE,4200,PIT@NE
QB,Drake,Maye,NE,6400,PIT@NE
QB,Aaron,Rodgers,PIT,6400,PIT@NE
QB,Tommy,DeVito,NE,4200,PIT@NE
QB,Tyrod,Taylor,NYJ,4200,NYJ@TB
QB,Justin,Fields,NYJ,5800,NYJ@TB
QB,Baker,Mayfield,TB,7800,NYJ@TB
QB,Teddy,Bridgewater,TB,4200,NYJ@TB
QB,Geno,Smith,LV,7000,LV@WAS
QB,Josh,Johnson,WAS,4200,LV@WAS
QB,Marcus,Mariota,WAS,4200,LV@WAS
QB,Jayden,Daniels,WAS,8200,LV@WAS
QB,Kenny,Pickett,LV,4200,LV@WAS
QB,Matthew,Stafford,LA,6400,LA@PHI
QB,Jimmy,Garoppolo,LA,4400,LA@PHI
QB,Stetson,Bennett IV,LA,4200,LA@PHI
QB,Jalen,Hurts,PHI,7400,LA@PHI
QB,Tanner,McKee,PHI,4200,LA@PHI
QB,Sam,Howell,PHI,4200,LA@PHI
QB,Kirk,Cousins,ATL,4200,ATL@CAR
QB,Michael,Penix Jr.,ATL,6200,ATL@CAR
QB,Andy,Dalton,CAR,4200,ATL@CAR
QB,Bryce,Young,CAR,7200,ATL@CAR
QB,Jake,Browning,CIN,4600,CIN@MIN
QB,Joe,Burrow,CIN,4200,CIN@MIN
QB,J.J.,McCarthy,MIN,6000,CIN@MIN
QB,Max,Brosmer,MIN,4200,CIN@MIN
QB,Carson,Wentz,MIN,4200,CIN@MIN
QB,Davis,Mills,HOU,4200,HOU@JAC
