Position,First Name,Last Name,Team,Salary,Game
QB,Taylor,Heinicke,LAC,4200,LAC@HOU
QB,Easton,Stick,LAC,4200,LAC@HOU
QB,Justin,Herbert,LAC,6600,LAC@HOU
QB,Luis,Perez,LAC,4200,LAC@HOU
QB,Max,Duggan,LAC,4200,LAC@HOU
QB,Casey,Bauman,LAC,4200,LAC@HOU
QB,Davis,Mills,HOU,4200,LAC@HOU
QB,C.J.,Stroud,HOU,4400,LAC@HOU
QB,Russell,Wilson,PIT,5000,PIT@BAL
QB,Kyle,Allen,PIT,4200,PIT@BAL
QB,Justin,Fields,PIT,4200,PIT@BAL
QB,Aeneas,Dennis,PIT,4200,PIT@BAL
QB,Josh,Johnson,BAL,4200,PIT@BAL
QB,Lamar,Jackson,BAL,8000,PIT@BAL
QB,Jarrett,Stidham,DEN,4200,DEN@BUF
QB,Zach,Wilson,DEN,4200,DEN@BUF
QB,Bo,Nix,DEN,5200,DEN@BUF
QB,John,Matocha,DEN,4200,DEN@BUF
QB,Mitchell,Trubisky,BUF,4200,DEN@BUF
QB,Josh,Allen,BUF,7800,DEN@BUF
QB,Mike,White,BUF,4200,DEN@BUF
QB,Gunnar,Watson,BUF,4200,DEN@BUF
QB,Jordan,Love,GB,4400,GB@PHI
QB,Malik,Willis,GB,4200,GB@PHI
QB,Jalen,Hurts,PHI,7000,GB@PHI
QB,Ian,Book,PHI,4200,GB@PHI
QB,Kenny,Pickett,PHI,4200,GB@PHI
QB,Tanner,McKee,PHI,4200,GB@PHI
QB,Marcus,Mariota,WAS,4200,WAS@TB
QB,Jeff,Driskel,WAS,4200,WAS@TB
QB,Jayden,Daniels,WAS,7200,WAS@TB
QB,Trace,McSorley,WAS,4200,WAS@TB
QB,Baker,Mayfield,TB,6600,WAS@TB
QB,Kyle,Trask,TB,4200,WAS@TB
QB,Zack,Annexstad,TB,4200,WAS@TB
QB,Jeremy,Moussa,TB,4200,WAS@TB
QB,Michael,Hiers,TB,4200,WAS@TB
QB,Nick,Mullens,MIN,4200,MIN@LA
QB,Sam,Darnold,MIN,6000,MIN@LA
QB,Brett,Rypien,MIN,4200,MIN@LA
QB,Matt,Corral,MIN,4200,MIN@LA
QB,Matthew,Stafford,LA,4600,MIN@LA
QB,Jimmy,Garoppolo,LA,4200,MIN@LA
QB,Stetson,Bennett,LA,4200,MIN@LA
QB,Dresser,Winn,LA,4200,MIN@LA
RB,Gus,Edwards,LAC,3000,LAC@HOU
RB,J.K.,Dobbins,LAC,5600,LAC@HOU
RB,Hassan,Haskins,LAC,2200,LAC@HOU
RB,Scott,Matlock,LAC,2200,LAC@HOU
RB,Kimani,Vidal,LAC,2200,LAC@HOU
RB,Ben,Mason,LAC,2200,LAC@HOU
RB,Joe,Mixon,HOU,5800,LAC@HOU
RB,Dare,Ogunbowale,HOU,2200,LAC@HOU
RB,Dameon,Pierce,HOU,2200,LAC@HOU
RB,Nick,Bawden,HOU,2200,LAC@HOU
RB,Cordarrelle,Patterson,PIT,2200,PIT@BAL
RB,Najee,Harris,PIT,4400,PIT@BAL
RB,Jaylen,Warren,PIT,4200,PIT@BAL
RB,Boston,Scott,PIT,2200,PIT@BAL
RB,La'Mical,Perine,PIT,2200,PIT@BAL
RB,Jonathan,Ward,PIT,2200,PIT@BAL
RB,Aaron,Shampklin,PIT,2200,PIT@BAL
RB,Jack,Colletto,PIT,2200,PIT@BAL
RB,Daijun,Edwards,PIT,2200,PIT@BAL
RB,Derrick,Henry,BAL,7400,PIT@BAL
RB,Patrick,Ricard,BAL,2200,PIT@BAL
RB,Justice,Hill,BAL,3200,PIT@BAL
RB,Keaton,Mitchell,BAL,2200,PIT@BAL
RB,Rasheen,Ali,BAL,2200,PIT@BAL
RB,Michael,Burton,DEN,2200,DEN@BUF
RB,Javonte,Williams,DEN,3000,DEN@BUF
RB,Jaleel,McLaughlin,DEN,3600,DEN@BUF
RB,Audric,Estime,DEN,2400,DEN@BUF
RB,Blake,Watson,DEN,2200,DEN@BUF
RB,Dwayne,Washington,DEN,2200,DEN@BUF
RB,Tyler,Badie,DEN,2200,DEN@BUF
RB,Ty,Johnson,BUF,2200,DEN@BUF
RB,Reggie,Gilliam,BUF,2200,DEN@BUF
RB,James,Cook,BUF,6200,DEN@BUF
RB,Ray,Davis,BUF,2600,DEN@BUF
RB,Josh,Jacobs,GB,5800,GB@PHI
RB,Chris,Brooks,GB,2200,GB@PHI
RB,Emanuel,Wilson,GB,2400,GB@PHI
RB,Nate,McCrary,GB,2200,GB@PHI
RB,Jarveon,Howard,GB,2200,GB@PHI
RB,Dylan,McDuffie,GB,2200,GB@PHI
RB,Saquon,Barkley,PHI,8200,GB@PHI
RB,Kenneth,Gainwell,PHI,2200,GB@PHI
RB,Will,Shipley,PHI,2200,GB@PHI
RB,Lew,Nichols,PHI,2200,GB@PHI
RB,Jeremy,McNichols,WAS,2200,WAS@TB
RB,Austin,Ekeler,WAS,4000,WAS@TB
RB,Brian,Robinson Jr.,WAS,4200,WAS@TB
RB,Chris,Rodriguez Jr.,WAS,2200,WAS@TB
RB,Austin,Jones,WAS,2200,WAS@TB
RB,Rachaad,White,TB,3600,WAS@TB
RB,Sean,Tucker,TB,2200,WAS@TB
RB,Bucky,Irving,TB,6600,WAS@TB
RB,Anthony,Grant,TB,2200,WAS@TB
RB,Ramon,Jefferson,TB,2200,WAS@TB
RB,C.J.,Ham,MIN,2200,MIN@LA
RB,Aaron,Jones Sr.,MIN,5600,MIN@LA
RB,Cam,Akers,MIN,2800,MIN@LA
RB,Ty,Chandler,MIN,2200,MIN@LA
RB,DeWayne,McBride,MIN,2200,MIN@LA
RB,Mohamed,Ibrahim,MIN,2200,MIN@LA
RB,Kyren,Williams,LA,7200,MIN@LA
RB,Ronnie,Rivers,LA,2200,MIN@LA
RB,Blake,Corum,LA,2200,MIN@LA
RB,Cody,Schrader,LA,2200,MIN@LA
RB,SaRodorick,Thompson Jr.,LA,2200,MIN@LA
TE,Hayden,Hurst,LAC,2200,LAC@HOU
TE,Will,Dissly,LAC,2400,LAC@HOU
TE,Tucker,Fisk,LAC,2200,LAC@HOU
TE,Stone,Smartt,LAC,2200,LAC@HOU
TE,Luke,Benson,LAC,2200,LAC@HOU
TE,Zach,Heins,LAC,2200,LAC@HOU
TE,Isaac,Rex,LAC,2200,LAC@HOU
TE,Dalton,Schultz,HOU,2800,LAC@HOU
TE,Irv,Smith,HOU,2200,LAC@HOU
TE,Cade,Stover,HOU,2200,LAC@HOU
TE,Chris,Myarick,HOU,2200,LAC@HOU
TE,Teagan,Quitoriano,HOU,2200,LAC@HOU
TE,MyCole,Pruitt,PIT,2200,PIT@BAL
TE,Pat,Freiermuth,PIT,3800,PIT@BAL
TE,Connor,Heyward,PIT,2200,PIT@BAL
TE,Darnell,Washington,PIT,2200,PIT@BAL
TE,Matt,Sokol,PIT,2200,PIT@BAL
TE,Rodney,Williams,PIT,2200,PIT@BAL
TE,Mark,Andrews,BAL,4800,PIT@BAL
TE,Charlie,Kolar,BAL,2200,PIT@BAL
TE,Isaiah,Likely,BAL,2400,PIT@BAL
TE,Mike,Rigerman,BAL,2200,PIT@BAL
TE,Riley,Sharp,BAL,2200,PIT@BAL
TE,Adam,Trautman,DEN,2200,DEN@BUF
TE,Lucas,Krull,DEN,2200,DEN@BUF
TE,Nate,Adkins,DEN,2200,DEN@BUF
TE,Hunter,Kampmoyer,DEN,2200,DEN@BUF
TE,Dylan,Leonard,DEN,2200,DEN@BUF
TE,Dawson,Knox,BUF,2200,DEN@BUF
TE,Quintin,Morris,BUF,2200,DEN@BUF
TE,Dalton,Kincaid,BUF,2800,DEN@BUF
TE,John,FitzPatrick,GB,2200,GB@PHI
TE,Luke,Musgrave,GB,2200,GB@PHI
TE,Tucker,Kraft,GB,3400,GB@PHI
TE,Ben,Sims,GB,2200,GB@PHI
TE,Henry,Pearson,GB,2200,GB@PHI
TE,Johnny,Lumpkin,GB,2200,GB@PHI
TE,Dallas,Goedert,PHI,3000,GB@PHI
TE,Grant,Calcaterra,PHI,2200,GB@PHI
TE,E.J.,Jenkins,PHI,2200,GB@PHI
TE,Kevin,Foelsch,PHI,2200,GB@PHI
TE,Zach,Ertz,WAS,4200,WAS@TB
TE,John,Bates,WAS,2200,WAS@TB
TE,Ben,Sinnott,WAS,2200,WAS@TB
TE,Cade,Otton,TB,2600,WAS@TB
TE,Ko,Kieft,TB,2200,WAS@TB
TE,Payne,Durham,TB,2200,WAS@TB
TE,Devin,Culp,TB,2200,WAS@TB
TE,David,Wells,TB,2200,WAS@TB
TE,Sal,Cannella,TB,2200,WAS@TB
TE,Colson,Yankoff,WAS,2200,WAS@TB
TE,Johnny,Mundt,MIN,2200,MIN@LA
TE,T.J.,Hockenson,MIN,3400,MIN@LA
TE,Josh,Oliver,MIN,2200,MIN@LA
TE,Trey,Knox,MIN,2200,MIN@LA
TE,Tyler,Higbee,LA,2200,MIN@LA
TE,Colby,Parkinson,LA,2200,MIN@LA
TE,Hunter,Long,LA,2200,MIN@LA
TE,Davis,Allen,LA,2200,MIN@LA
TE,Miller,Forristall,LA,2200,MIN@LA
WR,DJ,Chark Jr.,LAC,2200,LAC@HOU
WR,Joshua,Palmer,LAC,3000,LAC@HOU
WR,Dez,Fitzpatrick,LAC,2200,LAC@HOU
WR,Quentin,Johnston,LAC,4600,LAC@HOU
WR,Derius,Davis,LAC,2200,LAC@HOU
WR,Ladd,McConkey,LAC,6600,LAC@HOU
WR,Leon,Johnson,LAC,2200,LAC@HOU
WR,Isaiah,Wooden,LAC,2200,LAC@HOU
WR,Robert,Woods,HOU,2200,LAC@HOU
WR,Diontae,Johnson,HOU,2200,LAC@HOU
WR,Nico,Collins,HOU,6600,LAC@HOU
WR,John,Metchie III,HOU,2200,LAC@HOU
WR,Xavier,Hutchinson,HOU,2200,LAC@HOU
WR,Jadon,Janke,HOU,2200,LAC@HOU
WR,Simi,Fehoko,LAC,2200,LAC@HOU
WR,Brenden,Rice,LAC,2200,LAC@HOU
WR,Jalen,Reagor,LAC,2200,LAC@HOU
WR,Mike,Williams,PIT,2200,PIT@BAL
WR,Scotty,Miller,PIT,2200,PIT@BAL
WR,Van,Jefferson,PIT,2200,PIT@BAL
WR,Ben,Skowronek,PIT,2200,PIT@BAL
WR,George,Pickens,PIT,4200,PIT@BAL
WR,Calvin,Austin III,PIT,3000,PIT@BAL
WR,Jamal,Agnew,PIT,2200,PIT@BAL
WR,Andy,Isabella,PIT,2200,PIT@BAL
WR,Quez,Watkins,PIT,2200,PIT@BAL
WR,Lance,McCutcheon,PIT,2200,PIT@BAL
WR,Brandon,Johnson,PIT,2200,PIT@BAL
WR,Shaquan,Davis,PIT,2200,PIT@BAL
WR,Jaray,Jenkins,PIT,2200,PIT@BAL
WR,Duece,Watts,PIT,2200,PIT@BAL
WR,Jacob,Copeland,PIT,2200,PIT@BAL
WR,Roman,Wilson,PIT,2200,PIT@BAL
WR,Xavier,Wade,PIT,2200,PIT@BAL
WR,Nelson,Agholor,BAL,2200,PIT@BAL
WR,Steven,Sims,BAL,2200,PIT@BAL
WR,Rashod,Bateman,BAL,4400,PIT@BAL
WR,Tylan,Wallace,BAL,2200,PIT@BAL
WR,Zay,Flowers,BAL,5000,PIT@BAL
WR,Devontez,Walker,BAL,2200,PIT@BAL
WR,Sean,Ryan,BAL,2200,PIT@BAL
WR,Isaiah,Washington,BAL,2200,PIT@BAL
WR,Jelani,Baker,BAL,2200,PIT@BAL
WR,DeAngelo,Hardy,BAL,2200,PIT@BAL
WR,Deonte,Harty,BAL,2200,PIT@BAL
WR,Courtland,Sutton,DEN,6200,DEN@BUF
