Position,First name,Last name,Team,Salary,Game
QB,Sam,Darnold,SEA,5800,
WR,Keenan,Allen,IND,2800,
RB,Tyjae,Spears,TEN,3400,
RB,Kenny,Gainwell,TB,4600,
QB,Drew,Lock,SEA,4000,
WR,Jordan,Whittington,LAR,2200,
QB,Matthew,Stafford,LAR,7000,
QB,Kenny,Pickett,CAR,4000,
QB,Brett,Rypien,HOU,4000,
QB,Deshaun,Watson,CLE,4000,
RB,Brian,Robinson Jr.,ATL,2000,
WR,Travis,Hunter,JAX,2800,
RB,Najee,Harris,NYG,2000,
RB,Saquon,Barkley,PHI,6800,
RB,Jahmyr,Gibbs,DET,8000,
WR,Quentin,Skinner,BUF,2000,
RB,Isiah,Pacheco,DET,2400,
WR,Mac,Dalena,BUF,2000,
RB,Dylan,Sampson,CLE,2200,
WR,Jack,Bech,LV,2000,
WR,Savion,Williams,GB,2000,
RB,Chuba,Hubbard,CAR,3600,
RB,Zamir,White,NO,2200,
RB,Keaton,Mitchell,LAC,2400,
RB,Justice,Hill,BAL,2000,
RB,Rico,Dowdle,PIT,4200,
RB,Roschon,Johnson,CHI,2000,
RB,Pierre,Strong Jr.,GB,2000,
TE,Jackson,Hawes,BUF,2000,
RB,Samaje,Perine,CIN,2600,
RB,Ronnie,Rivers,LAR,2000,
RB,Jaylen,Warren,PIT,5400,
RB,Javonte,Williams,DAL,5800,
RB,Jonathan,Taylor,IND,7400,
RB,Chris,Rodriguez Jr.,JAX,3400,
WR,KeAndre,Lambert-Smith,LAC,2000,
RB,Jordan,Mason,MIN,3200,
RB,Craig,Reynolds,WSH,2000,
RB,Michael,Carter,TEN,2000,
RB,Chase,Brown,CIN,7400,
RB,Kendre,Miller,NO,2000,
RB,Ty,Johnson,BUF,2600,
RB,Jeremy,McNichols,WSH,2000,
RB,Tank,Bigsby,PHI,2600,
WR,Wan'Dale,Robinson,TEN,4200,
RB,D'Ernest,Johnson,TEN,2000,
TE,Johnny,Pascuzzi,LAC,2000,
TE,Brevyn,Spann-Ford,DAL,2000,
RB,Aaron,Jones Sr.,MIN,4000,
WR,Jayden,Reed,GB,4000,
WR,CeeDee,Lamb,DAL,5800,
RB,Tyler,Goodson,ATL,2000,
RB,Emanuel,Wilson,SEA,2000,
WR,Tre,Tucker,LV,2800,
WR,Kalif,Raymond,CHI,2000,
RB,MarShawn,Lloyd,GB,2000,
WR,Jacoby,Jones,WSH,2000,
RB,Devin,Singletary,NYG,2400,
RB,Trayveon,Williams,DET,2000,
WR,KaVontae,Turpin,DAL,2200,
RB,Salvon,Ahmed,CHI,2000,
WR,Calvin,Austin III,NYG,2000,
WR,Deven,Thompkins,LV,2000,
WR,Zay,Flowers,BAL,6600,
WR,Tay,Martin,DET,2000,
QB,Sean,Clifford,CIN,4000,
WR,Dalen,Cambre,NYG,2000,
RB,Alvin,Kamara,NO,2400,
WR,DeMario,Douglas,NE,2000,
WR,Rashid,Shaheed,SEA,2800,
RB,Dare,Ogunbowale,LV,2000,
RB,Deuce,Vaughn,HOU,2000,
WR,Skyy,Moore,GB,2000,
WR,Levi,Wentz,PIT,2000,
TE,Patrick,Gurd,LV,2000,
WR,Dyami,Brown,WSH,2000,
QB,Austin,Reed,BAL,4000,
RB,Khalil,Herbert,SF,2000,
RB,Rhamondre,Stevenson,NE,5200,
WR,Derius,Davis,LAC,2000,
WR,Puka,Nacua,LAR,7600,
RB,Sean,Tucker,TB,2000,
RB,Jonathan,Ward,BAL,2000,
RB,Zach,Charbonnet,SEA,3800,
TE,Seydou,Traore,MIA,2000,
RB,Ty,Chandler,NO,2000,
WR,Tutu,Atwell,LAR,2000,
WR,Brenen,Thompson,LAC,2000,
WR,Hollywood,Brown,PHI,2000,
RB,Dominic,Richardson,NYJ,2000,
WR,Kameron,Johnson,TB,2000,
TE,Oronde,Gadsden,LAC,2000,
WR,Ja'Marr,Chase,CIN,7800,
RB,Tyler,Allgeier,ARI,2400,
RB,Dameon,Pierce,PHI,2000,
WR,Jalen,Reagor,MIA,2000,
TE,Tip,Reiman,ARI,2000,
TE,Messiah,Swinson,CLE,2000,
FB,Michael,Burton,CLE,2000,
WR,Drake,London,ATL,6400,
WR,Dontayvion,Wicks,PHI,2800,
WR,Xavier,Gipson,NYG,2000,
WR,Ihmir,Smith-Marsette,ARI,2000,
RB,Israel,Abanikanda,DAL,2000,
