season,week,gameday,weekday,away_team,home_team
2024,1,2024-09-05,Thursday,BAL,KC
2024,1,2024-09-06,Friday,GB,PHI
2024,1,2024-09-08,Sunday,PIT,ATL
2024,1,2024-09-08,Sunday,ARI,BUF
2024,1,2024-09-08,Sunday,TEN,CHI
2024,1,2024-09-08,Sunday,NE,CIN
2024,1,2024-09-08,Sunday,HOU,IND
2024,1,2024-09-08,Sunday,JAX,MIA
2024,1,2024-09-08,Sunday,CAR,NO
2024,1,2024-09-08,Sunday,MIN,NYG
2024,1,2024-09-08,Sunday,LV,LAC
2024,1,2024-09-08,Sunday,DEN,SEA
2024,1,2024-09-08,Sunday,DAL,CLE
2024,1,2024-09-08,Sunday,WAS,TB
2024,1,2024-09-08,Sunday,LA,DET
2024,1,2024-09-09,Monday,NYJ,SF
2024,2,2024-09-12,Thursday,BUF,MIA
2024,2,2024-09-15,Sunday,LV,BAL
2024,2,2024-09-15,Sunday,LAC,CAR
2024,2,2024-09-15,Sunday,NO,DAL
2024,2,2024-09-15,Sunday,TB,DET
2024,2,2024-09-15,Sunday,IND,GB
2024,2,2024-09-15,Sunday,CLE,JAX
2024,2,2024-09-15,Sunday,SF,MIN
2024,2,2024-09-15,Sunday,SEA,NE
2024,2,2024-09-15,Sunday,NYJ,TEN
2024,2,2024-09-15,Sunday,NYG,WAS
2024,2,2024-09-15,Sunday,LA,ARI
2024,2,2024-09-15,Sunday,PIT,DEN
2024,2,2024-09-15,Sunday,CIN,KC
2024,2,2024-09-15,Sunday,CHI,HOU
2024,2,2024-09-16,Monday,ATL,PHI
2024,3,2024-09-19,Thursday,NE,NYJ
2024,3,2024-09-22,Sunday,NYG,CLE
2024,3,2024-09-22,Sunday,CHI,IND
2024,3,2024-09-22,Sunday,HOU,MIN
2024,3,2024-09-22,Sunday,PHI,NO
2024,3,2024-09-22,Sunday,LAC,PIT
2024,3,2024-09-22,Sunday,DEN,TB
2024,3,2024-09-22,Sunday,GB,TEN
2024,3,2024-09-22,Sunday,CAR,LV
2024,3,2024-09-22,Sunday,MIA,SEA
2024,3,2024-09-22,Sunday,DET,ARI
2024,3,2024-09-22,Sunday,BAL,DAL
2024,3,2024-09-22,Sunday,SF,LA
2024,3,2024-09-22,Sunday,KC,ATL
2024,3,2024-09-23,Monday,JAX,BUF
2024,3,2024-09-23,Monday,WAS,CIN
2024,4,2024-09-26,Thursday,DAL,NYG
2024,4,2024-09-29,Sunday,NO,ATL
2024,4,2024-09-29,Sunday,CIN,CAR
2024,4,2024-09-29,Sunday,LA,CHI
2024,4,2024-09-29,Sunday,MIN,GB
2024,4,2024-09-29,Sunday,JAX,HOU
2024,4,2024-09-29,Sunday,PIT,IND
2024,4,2024-09-29,Sunday,DEN,NYJ
2024,4,2024-09-29,Sunday,PHI,TB
2024,4,2024-09-29,Sunday,WAS,ARI
2024,4,2024-09-29,Sunday,NE,SF
2024,4,2024-09-29,Sunday,KC,LAC
2024,4,2024-09-29,Sunday,CLE,LV
2024,4,2024-09-29,Sunday,BUF,BAL
2024,4,2024-09-30,Monday,TEN,MIA
2024,4,2024-09-30,Monday,SEA,DET
2024,5,2024-10-03,Thursday,TB,ATL
2024,5,2024-10-06,Sunday,NYJ,MIN
2024,5,2024-10-06,Sunday,CAR,CHI
2024,5,2024-10-06,Sunday,BAL,CIN
2024,5,2024-10-06,Sunday,BUF,HOU
2024,5,2024-10-06,Sunday,IND,JAX
2024,5,2024-10-06,Sunday,MIA,NE
2024,5,2024-10-06,Sunday,CLE,WAS
2024,5,2024-10-06,Sunday,LV,DEN
2024,5,2024-10-06,Sunday,ARI,SF
2024,5,2024-10-06,Sunday,GB,LA
2024,5,2024-10-06,Sunday,NYG,SEA
2024,5,2024-10-06,Sunday,DAL,PIT
2024,5,2024-10-07,Monday,NO,KC
2024,6,2024-10-10,Thursday,SF,SEA
2024,6,2024-10-13,Sunday,JAX,CHI
2024,6,2024-10-13,Sunday,WAS,BAL
2024,6,2024-10-13,Sunday,ARI,GB
2024,6,2024-10-13,Sunday,HOU,NE
2024,6,2024-10-13,Sunday,TB,NO
