season,week_num,week_label,position,first_name,last_name,team,team_raw,salary,game,in_slate,source_file
2024,6,week6,RB,Alvin,Kamara,NO,NO,8200,,1,FG_week6_exportin.csv
2024,6,week6,QB,Lamar,Jackson,BAL,BAL,7800,,1,FG_week6_exportin.csv
2024,6,week6,RB,Saquon,Barkley,PHI,PHI,7400,,1,FG_week6_exportin.csv
2024,6,week6,QB,Jayden,Daniels,WAS,WAS,7400,,1,FG_week6_exportin.csv
2024,6,week6,RB,Derrick,Henry,BAL,BAL,7400,,1,FG_week6_exportin.csv
2024,6,week6,WR,Nico,Collins,HOU,HOU,7000,,1,FG_week6_exportin.csv
2024,6,week6,RB,Jonathan,Taylor,IND,IND,6800,,1,FG_week6_exportin.csv
2024,6,week6,RB,Jahmyr,Gibbs,DET,DET,6600,,1,FG_week6_exportin.csv
2024,6,week6,WR,CeeDee,Lamb,DAL,DAL,6600,,1,FG_week6_exportin.csv
2024,6,week6,RB,Joe,Mixon,HOU,HOU,6600,,1,FG_week6_exportin.csv
2024,6,week6,WR,Amon-Ra,St. Brown,DET,DET,6600,,1,FG_week6_exportin.csv
2024,6,week6,RB,James,Conner,ARI,ARI,6400,,1,FG_week6_exportin.csv
2024,6,week6,QB,Justin,Fields,PIT,PIT,6400,,1,FG_week6_exportin.csv
2024,6,week6,WR,Drake,London,ATL,ATL,6400,,1,FG_week6_exportin.csv
2024,6,week6,QB,Kyler,Murray,ARI,ARI,6400,,1,FG_week6_exportin.csv
2024,6,week6,QB,Jordan,Love,GB,GB,6200,,1,FG_week6_exportin.csv
2024,6,week6,QB,Baker,Mayfield,TB,TB,6200,,1,FG_week6_exportin.csv
2024,6,week6,WR,A.J.,Brown,PHI,PHI,6000,,1,FG_week6_exportin.csv
2024,6,week6,WR,Mike,Evans,TB,TB,6000,,1,FG_week6_exportin.csv
2024,6,week6,WR,Chris,Godwin,TB,TB,6000,,1,FG_week6_exportin.csv
2024,6,week6,RB,Chuba,Hubbard,CAR,CAR,6000,,1,FG_week6_exportin.csv
2024,6,week6,RB,David,Montgomery,DET,DET,6000,,1,FG_week6_exportin.csv
2024,6,week6,QB,Dak,Prescott,DAL,DAL,6000,,1,FG_week6_exportin.csv
2024,6,week6,WR,Jayden,Reed,GB,GB,6000,,1,FG_week6_exportin.csv
2024,6,week6,RB,Bijan,Robinson,ATL,ATL,6000,,1,FG_week6_exportin.csv
2024,6,week6,WR,Davante,Adams,LV,LV,5800,,1,FG_week6_exportin.csv
2024,6,week6,RB,J.K.,Dobbins,LAC,LAC,5800,,1,FG_week6_exportin.csv
2024,6,week6,WR,Marvin,Harrison Jr.,ARI,ARI,5800,,1,FG_week6_exportin.csv
2024,6,week6,QB,Jalen,Hurts,PHI,PHI,5800,,1,FG_week6_exportin.csv
2024,6,week6,RB,Brian,Robinson Jr.,WAS,WAS,5800,,1,FG_week6_exportin.csv
